地点名,旭川　　,帯広　　,室蘭　　,函館　　,秋田　　,盛岡　　,山形　　,仙台　　,福島　　,新潟　　,金沢　　,富山　　,長野　　,宇都宮　,福井　　,前橋　　,熊谷　　,水戸　　,岐阜　　,名古屋　,甲府　　,銚子　　,津　　　,静岡　　,東京　　,横浜　　,松江　　,鳥取　　,京都　　,彦根　　,下関　　,広島　　,岡山　　,神戸　　,大阪　　,和歌山　,福岡　　,佐賀　　,大分　　,長崎　　,熊本　　,鹿児島　,松山　　,高松　　,徳島　　
2014,2014-05-02 00:00:00,2014-04-27 00:00:00,2014-04-29 00:00:00,2014-04-28 00:00:00,2014-04-20 00:00:00,2014-04-13 00:00:00,2014-04-14 00:00:00,2014-04-07 00:00:00,2014-04-08 00:00:00,2014-04-07 00:00:00,2014-04-01 00:00:00,2014-04-02 00:00:00,2014-04-11 00:00:00,2014-03-29 00:00:00,2014-03-31 00:00:00,2014-03-29 00:00:00,2014-03-28 00:00:00,2014-03-29 00:00:00,2014-03-24 00:00:00,2014-03-24 00:00:00,2014-03-28 00:00:00,2014-03-29 00:00:00,2014-03-27 00:00:00,2014-03-24 00:00:00,2014-03-25 00:00:00,2014-03-25 00:00:00,2014-03-27 00:00:00,2014-03-27 00:00:00,2014-03-27 00:00:00,2014-04-02 00:00:00,2014-03-25 00:00:00,2014-03-25 00:00:00,2014-03-28 00:00:00,2014-03-27 00:00:00,2014-03-27 00:00:00,2014-03-26 00:00:00,2014-03-19 00:00:00,2014-03-19 00:00:00,2014-03-25 00:00:00,2014-03-20 00:00:00,2014-03-20 00:00:00,2014-03-20 00:00:00,2014-03-24 00:00:00,2014-03-26 00:00:00,2014-03-29 00:00:00
2015,2015-04-27 00:00:00,2015-04-26 00:00:00,2015-04-28 00:00:00,2015-04-21 00:00:00,2015-04-11 00:00:00,2015-04-09 00:00:00,2015-04-10 00:00:00,2015-04-03 00:00:00,2015-04-02 00:00:00,2015-04-02 00:00:00,2015-03-31 00:00:00,2015-04-01 00:00:00,2015-04-04 00:00:00,2015-03-30 00:00:00,2015-03-31 00:00:00,2015-03-28 00:00:00,2015-03-27 00:00:00,2015-03-30 00:00:00,2015-03-23 00:00:00,2015-03-21 00:00:00,2015-03-25 00:00:00,2015-03-30 00:00:00,2015-03-29 00:00:00,2015-03-22 00:00:00,2015-03-23 00:00:00,2015-03-23 00:00:00,2015-03-29 00:00:00,2015-03-28 00:00:00,2015-03-27 00:00:00,2015-03-31 00:00:00,2015-03-25 00:00:00,2015-03-24 00:00:00,2015-03-28 00:00:00,2015-03-27 00:00:00,2015-03-26 00:00:00,2015-03-23 00:00:00,2015-03-22 00:00:00,2015-03-22 00:00:00,2015-03-26 00:00:00,2015-03-22 00:00:00,2015-03-21 00:00:00,2015-03-21 00:00:00,2015-03-27 00:00:00,2015-03-24 00:00:00,2015-03-28 00:00:00
2016,2016-05-03 00:00:00,2016-04-30 00:00:00,2016-04-25 00:00:00,2016-04-24 00:00:00,2016-04-14 00:00:00,2016-04-11 00:00:00,2016-04-06 00:00:00,2016-04-01 00:00:00,2016-03-30 00:00:00,2016-04-03 00:00:00,2016-03-30 00:00:00,2016-03-29 00:00:00,2016-04-03 00:00:00,2016-03-28 00:00:00,2016-03-27 00:00:00,2016-03-23 00:00:00,2016-03-23 00:00:00,2016-03-28 00:00:00,2016-03-20 00:00:00,2016-03-19 00:00:00,2016-03-23 00:00:00,2016-04-01 00:00:00,2016-03-28 00:00:00,2016-03-27 00:00:00,2016-03-21 00:00:00,2016-03-23 00:00:00,2016-03-23 00:00:00,2016-03-23 00:00:00,2016-03-23 00:00:00,2016-03-30 00:00:00,2016-03-28 00:00:00,2016-03-23 00:00:00,2016-03-26 00:00:00,2016-03-26 00:00:00,2016-03-23 00:00:00,2016-03-22 00:00:00,2016-03-19 00:00:00,2016-03-23 00:00:00,2016-03-28 00:00:00,2016-03-22 00:00:00,2016-03-22 00:00:00,2016-03-27 00:00:00,2016-03-23 00:00:00,2016-03-26 00:00:00,2016-03-30 00:00:00
2017,2017-05-03 00:00:00,2017-05-01 00:00:00,2017-05-02 00:00:00,2017-04-27 00:00:00,2017-04-16 00:00:00,2017-04-17 00:00:00,2017-04-14 00:00:00,2017-04-07 00:00:00,2017-04-08 00:00:00,2017-04-08 00:00:00,2017-04-04 00:00:00,2017-04-05 00:00:00,2017-04-14 00:00:00,2017-04-03 00:00:00,2017-04-05 00:00:00,2017-04-02 00:00:00,2017-03-28 00:00:00,2017-04-03 00:00:00,2017-03-28 00:00:00,2017-03-28 00:00:00,2017-03-30 00:00:00,2017-04-01 00:00:00,2017-04-03 00:00:00,2017-04-02 00:00:00,2017-03-21 00:00:00,2017-03-25 00:00:00,2017-04-01 00:00:00,2017-04-02 00:00:00,2017-03-31 00:00:00,2017-04-05 00:00:00,2017-03-29 00:00:00,2017-03-27 00:00:00,2017-04-01 00:00:00,2017-04-03 00:00:00,2017-03-30 00:00:00,2017-03-30 00:00:00,2017-03-25 00:00:00,2017-03-30 00:00:00,2017-04-04 00:00:00,2017-03-30 00:00:00,2017-04-01 00:00:00,2017-04-05 00:00:00,2017-03-30 00:00:00,2017-04-02 00:00:00,2017-04-03 00:00:00
2018,2018-04-30 00:00:00,2018-04-27 00:00:00,2018-04-29 00:00:00,2018-04-25 00:00:00,2018-04-17 00:00:00,2018-04-17 00:00:00,2018-04-04 00:00:00,2018-03-30 00:00:00,2018-03-29 00:00:00,2018-04-03 00:00:00,2018-03-29 00:00:00,2018-03-27 00:00:00,2018-04-02 00:00:00,2018-03-26 00:00:00,2018-03-29 00:00:00,2018-03-25 00:00:00,2018-03-22 00:00:00,2018-03-25 00:00:00,2018-03-19 00:00:00,2018-03-19 00:00:00,2018-03-23 00:00:00,2018-03-20 00:00:00,2018-03-26 00:00:00,2018-03-18 00:00:00,2018-03-17 00:00:00,2018-03-19 00:00:00,2018-03-26 00:00:00,2018-03-24 00:00:00,2018-03-22 00:00:00,2018-03-27 00:00:00,2018-03-23 00:00:00,2018-03-22 00:00:00,2018-03-25 00:00:00,2018-03-23 00:00:00,2018-03-20 00:00:00,2018-03-20 00:00:00,2018-03-19 00:00:00,2018-03-20 00:00:00,2018-03-23 00:00:00,2018-03-17 00:00:00,2018-03-17 00:00:00,2018-03-17 00:00:00,2018-03-19 00:00:00,2018-03-24 00:00:00,2018-03-23 00:00:00
2019,2019-05-01 00:00:00,2019-04-28 00:00:00,2019-04-29 00:00:00,2019-04-24 00:00:00,2019-04-16 00:00:00,2019-04-18 00:00:00,2019-04-12 00:00:00,2019-04-05 00:00:00,2019-04-05 00:00:00,2019-04-05 00:00:00,2019-04-01 00:00:00,2019-03-28 00:00:00,2019-04-13 00:00:00,2019-03-28 00:00:00,2019-03-28 00:00:00,2019-03-27 00:00:00,2019-03-25 00:00:00,2019-03-27 00:00:00,2019-03-22 00:00:00,2019-03-22 00:00:00,2019-03-27 00:00:00,2019-03-25 00:00:00,2019-03-28 00:00:00,2019-03-28 00:00:00,2019-03-21 00:00:00,2019-03-21 00:00:00,2019-03-26 00:00:00,2019-03-26 00:00:00,2019-03-27 00:00:00,2019-04-04 00:00:00,2019-03-25 00:00:00,2019-03-22 00:00:00,2019-03-27 00:00:00,2019-03-27 00:00:00,2019-03-27 00:00:00,2019-03-25 00:00:00,2019-03-21 00:00:00,2019-03-23 00:00:00,2019-03-24 00:00:00,2019-03-20 00:00:00,2019-03-26 00:00:00,2019-03-25 00:00:00,2019-03-22 00:00:00,2019-03-26 00:00:00,2019-03-28 00:00:00
2020,2020-05-03 00:00:00,2020-05-02 00:00:00,2020-05-01 00:00:00,2020-04-26 00:00:00,2020-04-08 00:00:00,2020-04-14 00:00:00,2020-04-03 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,2020-04-01 00:00:00,2020-03-26 00:00:00,2020-03-27 00:00:00,2020-04-02 00:00:00,2020-03-21 00:00:00,2020-03-25 00:00:00,2020-03-19 00:00:00,2020-03-18 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,2020-03-27 00:00:00,2020-03-25 00:00:00,2020-03-27 00:00:00,2020-03-14 00:00:00,2020-03-18 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-22 00:00:00,2020-03-27 00:00:00,2020-03-24 00:00:00,2020-03-22 00:00:00,2020-03-24 00:00:00,2020-03-26 00:00:00,2020-03-23 00:00:00,2020-03-22 00:00:00,2020-03-21 00:00:00,2020-03-23 00:00:00,2020-03-25 00:00:00,2020-03-24 00:00:00,2020-03-23 00:00:00,2020-04-01 00:00:00,2020-03-25 00:00:00,2020-03-23 00:00:00,2020-03-27 00:00:00
2021,2021-04-29 00:00:00,2021-04-24 00:00:00,2021-04-27 00:00:00,2021-04-20 00:00:00,2021-04-04 00:00:00,2021-04-09 00:00:00,2021-04-02 00:00:00,2021-03-28 00:00:00,2021-03-25 00:00:00,2021-03-29 00:00:00,2021-03-23 00:00:00,2021-03-24 00:00:00,2021-03-29 00:00:00,2021-03-20 00:00:00,2021-03-22 00:00:00,2021-03-21 00:00:00,2021-03-19 00:00:00,2021-03-20 00:00:00,2021-03-16 00:00:00,2021-03-17 00:00:00,2021-03-18 00:00:00,2021-03-22 00:00:00,2021-03-20 00:00:00,2021-03-20 00:00:00,2021-03-14 00:00:00,2021-03-17 00:00:00,2021-03-14 00:00:00,2021-03-19 00:00:00,2021-03-16 00:00:00,2021-03-22 00:00:00,2021-03-16 00:00:00,2021-03-11 00:00:00,2021-03-20 00:00:00,2021-03-24 00:00:00,2021-03-19 00:00:00,2021-03-18 00:00:00,2021-03-12 00:00:00,2021-03-17 00:00:00,2021-03-18 00:00:00,2021-03-14 00:00:00,2021-03-17 00:00:00,2021-03-17 00:00:00,2021-03-15 00:00:00,2021-03-15 00:00:00,2021-03-25 00:00:00
2022,2022-04-26 00:00:00,2022-04-22 00:00:00,2022-04-25 00:00:00,2022-04-21 00:00:00,2022-04-12 00:00:00,2022-04-14 00:00:00,2022-04-11 00:00:00,2022-04-08 00:00:00,2022-04-04 00:00:00,2022-04-08 00:00:00,2022-03-30 00:00:00,2022-04-01 00:00:00,2022-04-09 00:00:00,2022-03-27 00:00:00,2022-03-31 00:00:00,2022-03-27 00:00:00,2022-03-24 00:00:00,2022-03-30 00:00:00,2022-03-21 00:00:00,2022-03-22 00:00:00,2022-03-21 00:00:00,2022-03-27 00:00:00,2022-03-26 00:00:00,2022-03-21 00:00:00,2022-03-20 00:00:00,2022-03-21 00:00:00,2022-03-26 00:00:00,2022-03-27 00:00:00,2022-03-24 00:00:00,2022-03-31 00:00:00,2022-03-25 00:00:00,2022-03-21 00:00:00,2022-03-26 00:00:00,2022-03-25 00:00:00,2022-03-23 00:00:00,2022-03-24 00:00:00,2022-03-17 00:00:00,2022-03-19 00:00:00,2022-03-23 00:00:00,2022-03-22 00:00:00,2022-03-20 00:00:00,2022-03-20 00:00:00,2022-03-21 00:00:00,2022-03-24 00:00:00,2022-03-25 00:00:00
2023,2023-04-25 00:00:00,2023-04-20 00:00:00,2023-04-21 00:00:00,2023-04-14 00:00:00,2023-04-04 00:00:00,2023-04-03 00:00:00,2023-03-31 00:00:00,2023-03-26 00:00:00,2023-03-24 00:00:00,2023-03-27 00:00:00,2023-03-23 00:00:00,2023-03-22 00:00:00,2023-03-28 00:00:00,2023-03-20 00:00:00,2023-03-22 00:00:00,2023-03-18 00:00:00,2023-03-17 00:00:00,2023-03-20 00:00:00,2023-03-16 00:00:00,2023-03-17 00:00:00,2023-03-17 00:00:00,2023-03-22 00:00:00,2023-03-22 00:00:00,2023-03-19 00:00:00,2023-03-14 00:00:00,2023-03-15 00:00:00,2023-03-20 00:00:00,2023-03-19 00:00:00,2023-03-17 00:00:00,2023-03-23 00:00:00,2023-03-22 00:00:00,2023-03-19 00:00:00,2023-03-22 00:00:00,2023-03-24 00:00:00,2023-03-19 00:00:00,2023-03-20 00:00:00,2023-03-18 00:00:00,2023-03-22 00:00:00,2023-03-24 00:00:00,2023-03-21 00:00:00,2023-03-22 00:00:00,2023-03-24 00:00:00,2023-03-18 00:00:00,2023-03-22 00:00:00,2023-03-23 00:00:00
