,àÆêÏ,ë—çL,é∫óñ,îüäŸ,èHìc,ê∑â™,êÂë‰,éRå`,êVäÉ,ïüìá,ïxéR,í∑ñÏ,ã‡ëÚ,âFìsã{,ëOã¥,êÖåÀ,åFíJ,ïüà‰,í∂éq,ìåãû,çbï{,íπéÊ,èºç],â°ïl,äÚïå,ïFç™,ñºå√âÆ,ãûìs,ê√â™,í√,ê_åÀ,ëÂç„,â™éR,çLìá,çÇèº,òaâÃéR,ìøìá,â∫ä÷,èºéR,ïüâ™,ç≤âÍ,ëÂï™,åFñ{,í∑çË,é≠éôìá
0,2014-05-14,2014-05-02,2014-05-08,2014-05-03,2014-04-24,2014-04-24,2014-04-12,2014-04-19,2014-04-14,2014-04-10,2014-04-06,2014-04-14,2014-04-06,2014-03-30,2014-03-31,2014-03-29,2014-03-29,2014-04-03,2014-03-27,2014-03-27,2014-03-29,2014-03-30,2014-03-30,2014-03-27,2014-03-28,2014-04-04,2014-03-26,2014-03-29,2014-03-23,2014-03-29,2014-03-29,2014-03-28,2014-03-28,2014-03-25,2014-03-27,2014-03-27,2014-03-27,2014-03-26,2014-03-25,2014-03-22,2014-03-22,2014-03-25,2014-03-21,2014-03-21,2014-03-15
1,2015-05-02,2015-04-30,2015-04-30,2015-04-23,2015-04-13,2015-04-16,2015-04-06,2015-04-13,2015-04-05,2015-04-02,2015-04-03,2015-04-05,2015-04-02,2015-03-28,2015-03-27,2015-03-28,2015-03-24,2015-04-01,2015-03-28,2015-03-23,2015-03-22,2015-03-28,2015-03-29,2015-03-23,2015-03-25,2015-04-01,2015-03-23,2015-03-25,2015-03-19,2015-03-27,2015-03-26,2015-03-24,2015-03-25,2015-03-24,2015-03-25,2015-03-24,2015-03-23,2015-03-25,2015-03-25,2015-03-22,2015-03-22,2015-03-23,2015-03-21,2015-03-22,2015-03-16
2,2016-05-11,2016-05-04,2016-05-01,2016-04-26,2016-04-17,2016-04-16,2016-04-02,2016-04-07,2016-04-04,2016-03-29,2016-03-29,2016-04-02,2016-03-29,2016-03-23,2016-03-22,2016-03-23,2016-03-20,2016-03-27,2016-03-22,2016-03-19,2016-03-19,2016-03-24,2016-03-23,2016-03-20,2016-03-20,2016-03-27,2016-03-19,2016-03-19,2016-03-16,2016-03-22,2016-03-20,2016-03-19,2016-03-20,2016-03-20,2016-03-21,2016-03-19,2016-03-20,2016-03-22,2016-03-19,2016-03-18,2016-03-18,2016-03-19,2016-03-16,2016-03-17,2016-03-11
3,2017-05-11,2017-05-03,2017-05-04,2017-04-29,2017-04-18,2017-04-21,2017-04-08,2017-04-15,2017-04-08,2017-04-07,2017-04-04,2017-04-11,2017-04-03,2017-03-25,2017-03-28,2017-03-26,2017-03-23,2017-04-02,2017-03-25,2017-03-21,2017-03-22,2017-03-29,2017-03-28,2017-03-22,2017-03-26,2017-04-05,2017-03-25,2017-03-27,2017-03-18,2017-03-29,2017-03-27,2017-03-25,2017-03-23,2017-03-22,2017-03-24,2017-03-24,2017-03-23,2017-03-23,2017-03-21,2017-03-19,2017-03-19,2017-03-20,2017-03-19,2017-03-20,2017-03-13
4,2018-05-13,2018-05-03,2018-05-06,2018-05-02,2018-04-21,2018-04-21,2018-04-04,2018-04-11,2018-04-06,2018-03-31,2018-04-01,2018-04-03,2018-04-01,2018-03-26,2018-03-25,2018-03-25,2018-03-21,2018-04-01,2018-03-24,2018-03-21,2018-03-21,2018-03-27,2018-03-28,2018-03-21,2018-03-24,2018-03-30,2018-03-21,2018-03-23,2018-03-17,2018-03-25,2018-03-26,2018-03-24,2018-03-24,2018-03-24,2018-03-25,2018-03-23,2018-03-25,2018-03-26,2018-03-22,2018-03-21,2018-03-20,2018-03-24,2018-03-19,2018-03-20,2018-03-15
5,2019-05-11,2019-04-29,2019-05-03,2019-04-27,2019-04-17,2019-04-18,2019-04-02,2019-04-09,2019-04-03,2019-03-28,2019-03-27,2019-04-06,2019-03-28,2019-03-22,2019-03-21,2019-03-22,2019-03-20,2019-03-26,2019-03-20,2019-03-20,2019-03-19,2019-03-22,2019-03-23,2019-03-20,2019-03-20,2019-03-29,2019-03-20,2019-03-22,2019-03-15,2019-03-23,2019-03-22,2019-03-21,2019-03-21,2019-03-20,2019-03-22,2019-03-21,2019-03-21,2019-03-22,2019-03-20,2019-03-17,2019-03-17,2019-03-19,2019-03-16,2019-03-17,2019-03-11
6,2020-05-10,2020-05-03,2020-05-03,2020-04-25,2020-04-08,2020-04-14,2020-03-31,2020-04-04,2020-03-30,2020-03-28,2020-03-25,2020-03-31,2020-03-24,2020-03-20,2020-03-19,2020-03-19,2020-03-17,2020-03-24,2020-03-19,2020-03-16,2020-03-17,2020-03-21,2020-03-22,2020-03-17,2020-03-20,2020-03-26,2020-03-19,2020-03-20,2020-03-12,2020-03-20,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-19,2020-03-19,2020-03-19,2020-03-19,2020-03-18,2020-03-15,2020-03-15,2020-03-16,2020-03-14,2020-03-15,2020-03-09
7,2021-05-08,2021-04-25,2021-05-01,2021-04-22,2021-04-08,2021-04-11,2021-03-30,2021-04-05,2021-03-29,2021-03-25,2021-03-25,2021-03-29,2021-03-24,2021-03-18,2021-03-19,2021-03-17,2021-03-16,2021-03-24,2021-03-17,2021-03-15,2021-03-15,2021-03-20,2021-03-19,2021-03-15,2021-03-18,2021-03-24,2021-03-17,2021-03-17,2021-03-13,2021-03-19,2021-03-17,2021-03-16,2021-03-16,2021-03-15,2021-03-17,2021-03-16,2021-03-16,2021-03-17,2021-03-14,2021-03-13,2021-03-12,2021-03-15,2021-03-11,2021-03-13,2021-03-08
8,2022-05-07,2022-04-26,2022-05-01,2022-04-26,2022-04-17,2022-04-19,2022-04-08,2022-04-14,2022-04-09,2022-04-05,2022-04-03,2022-04-09,2022-04-01,2022-03-23,2022-03-23,2022-03-25,2022-03-20,2022-03-31,2022-03-25,2022-03-20,2022-03-18,2022-03-28,2022-03-28,2022-03-21,2022-03-25,2022-04-01,2022-03-22,2022-03-24,2022-03-17,2022-03-23,2022-03-25,2022-03-23,2022-03-22,2022-03-22,2022-03-23,2022-03-23,2022-03-23,2022-03-25,2022-03-22,2022-03-21,2022-03-19,2022-03-20,2022-03-18,2022-03-19,2022-03-15
9,2023-05-02,2023-04-25,2023-04-27,2023-04-17,2023-04-08,2023-04-07,2023-03-29,2023-04-03,2023-03-30,2023-03-25,2023-03-24,2023-03-30,2023-03-24,2023-03-18,2023-03-17,2023-03-18,2023-03-16,2023-03-23,2023-03-18,2023-03-16,2023-03-15,2023-03-20,2023-03-21,2023-03-17,2023-03-17,2023-03-25,2023-03-17,2023-03-18,2023-03-13,2023-03-20,2023-03-20,2023-03-17,2023-03-18,2023-03-17,2023-03-19,2023-03-17,2023-03-19,2023-03-18,2023-03-16,2023-03-15,2023-03-14,2023-03-17,2023-03-13,2023-03-14,2023-03-10
