地点名,旭川,帯広,室蘭,函館,秋田,盛岡,山形,仙台,福島,新潟,金沢,富山,長野,宇都宮,福井,前橋,熊谷,水戸,岐阜,名古屋,甲府,銚子,津,静岡,東京,横浜,松江,鳥取,京都,彦根,下関,広島,岡山,神戸,大阪,和歌山,福岡,佐賀,大分,長崎,熊本,鹿児島,松山,高松,徳島
2014,12,5,9,5,4,11,5,5,2,7,5,4,3,1,3,2,1,0,4,2,1,-2,2,-1,2,2,3,3,2,2,1,0,0,2,1,1,3,3,0,1,1,-5,1,1,-2
2015,5,4,2,2,2,7,3,3,0,3,2,2,1,-2,1,-1,-3,-2,2,2,-3,-2,-2,-3,0,0,0,0,-2,1,0,0,-3,-1,-2,1,0,0,-3,0,0,-5,-2,1,-5
2016,8,4,6,2,3,5,1,1,-1,1,-1,0,-1,-5,0,-1,-3,-5,0,0,-4,-10,-6,-11,-2,-3,0,1,-4,-3,-6,-3,-6,-6,-4,-3,-1,-5,-9,-5,-6,-16,-4,-5,-10
2017,8,2,2,2,2,4,1,1,-1,0,-1,-1,-3,-9,-3,-5,-5,-8,-2,-3,-8,-7,-5,-15,0,-3,-4,-4,-4,0,-6,-5,-9,-7,-5,-6,-6,-11,-15,-10,-13,-23,-9,-9,-11
2018,13,6,7,7,4,4,7,5,2,3,3,5,1,0,3,0,-1,0,5,2,-2,4,-1,-1,4,2,2,3,1,3,3,2,-1,3,4,3,2,0,1,3,2,-2,3,1,2
2019,10,1,4,3,1,0,-3,-3,-8,-2,-4,-1,-7,-6,-2,-6,-5,-5,-2,-2,-8,-5,-5,-13,-1,-1,-3,-4,-5,-6,-3,-2,-6,-5,-6,-4,-4,-6,-5,-3,-10,-14,-2,-4,-7
2020,7,1,2,-1,0,0,1,3,0,-2,-2,-2,-2,-1,-1,0,-1,-2,-1,-3,-5,-8,-5,-15,2,-1,-1,-2,-2,-1,-5,-5,-6,-6,-4,-3,-6,-8,-9,-9,-9,-23,-7,-4,-8
2021,9,1,4,2,4,2,3,2,0,0,1,1,0,-2,2,-2,-3,-3,2,0,-3,-5,-1,-7,1,-2,5,1,1,2,1,4,-4,-7,-3,-2,1,-5,-3,-1,-6,-9,-1,2,-9
2022,11,4,6,5,5,5,3,0,1,1,2,2,0,-4,0,-4,-4,-5,4,0,-3,-2,-3,-4,0,0,2,1,0,1,0,1,-4,0,0,-1,4,0,-3,-3,-2,-5,1,-1,-2
2023,7,5,6,3,4,4,3,3,1,3,1,2,2,-2,1,-1,-1,-2,1,0,-2,-4,-2,-6,2,2,1,1,1,2,-4,-2,-4,-4,-2,-3,-3,-8,-7,-7,-9,-14,-2,-3,-4
2024,10,5,2,4,2,1,1,-1,-2,0,-2,-3,-1,-8,-3,-8,-11,-10,-7,-10,-9,-13,-8,-15,-10,-13,-3,-3,-6,-2,-8,-6,-11,-10,-9,-10,-10,-13,-13,-11,-13,-22,-9,-7,-12
